ID, Segment , LOB , RegionPeril , AAL , STD ,OEP_2,OEP_5,OEP_10,OEP_20,OEP_25,OEP_50,OEP_100,OEP_200,OEP_250,OEP_500,OEP_1000,OEP_10000,AEP_2,AEP_5,AEP_10,AEP_20,AEP_25,AEP_50,AEP_100,AEP_200,AEP_250,AEP_500,AEP_1000,AEP_10000
319, S33_HH_Lloyds-EUxGB WS , S33_HH_Lloyds , EUxGB WS ," 80,093 "," 164,721 "," 18,853 "," 75,366 "," 150,714 "," 261,173 "," 305,071 "," 468,715 "," 673,330 "," 916,095 "," 1,001,946 "," 1,290,006 "," 1,609,288 "," 2,936,189 "," 42,136 "," 117,003 "," 207,008 "," 331,339 "," 379,360 "," 554,494 "," 768,496 "," 1,019,028 "," 1,106,900 "," 1,400,823 "," 1,725,407 "," 3,063,256 "
320, S33_HH_EU_DE-EUxGB WS CVV (FlrArea) , S33_HH_EU_DE , EUxGB WS CVV (FlrArea) ," 10,584 "," 41,410 ", 461 ," 6,957 "," 21,060 "," 45,957 "," 56,570 "," 98,811 "," 157,437 "," 235,809 "," 265,710 "," 374,006 "," 506,572 "," 1,138,954 "," 1,298 "," 8,687 "," 24,211 "," 50,948 "," 62,203 "," 106,466 "," 166,979 "," 246,896 "," 277,202 "," 386,612 "," 519,913 "," 1,153,840 "
321, HSA_FA_EU_ES-GB FL , HSA_FA_EU_ES , GB FL , 6 , 497 ,                       -   ,                       -   ,                         -   ,                         -   ,                         -   , -   , -   , -   , -   , 37 , 449 ," 12,447 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , -   , 1 , 3 , 4 , 37 , 449 ," 12,451 "
322, S33_HH_UK-EUxESGB EQ , S33_HH_UK , EUxESGB EQ ," 2,066 "," 30,591 ",                       -   ,                       -   , 1 , 247 , 983 ," 11,053 "," 41,353 "," 98,076 "," 122,480 "," 219,348 "," 354,092 "," 1,229,023 ",                       -   ,                         -   , 29 , 257 , 994 ," 11,135 "," 41,644 "," 98,704 "," 123,251 "," 220,579 "," 355,713 "," 1,231,579 "
323, S33_FA_EU_FR-EUxGB WS , S33_FA_EU_FR , EUxGB WS , 887 ," 5,845 ", 113 , 442 , 924 ," 2,009 "," 2,635 "," 6,174 "," 13,371 "," 25,253 "," 30,136 "," 48,637 "," 72,268 "," 196,094 ", 548 , 979 ," 1,557 "," 2,726 "," 3,372 "," 6,981 "," 14,265 "," 26,248 "," 31,165 "," 49,774 "," 73,511 "," 197,645 "
324, HSA_FA_EU_IE-EUxESGB EQ , HSA_FA_EU_IE , EUxESGB EQ ," 1,472 "," 25,468 ",                       -   ,                       -   , 1 , 89 , 345 ," 4,759 "," 22,368 "," 65,688 "," 86,942 "," 176,484 "," 302,573 "," 886,200 ",                       -   ,                         -   , 16 , 153 , 355 ," 4,796 "," 22,509 "," 66,026 "," 87,354 "," 177,179 "," 303,590 "," 888,374 "
325, S33_HH_EU_FR-EU FL HD , S33_HH_EU_FR , EU FL HD , 209 ," 9,612 ", -   , -   , -   , -   , -   , -   , -   , -   , 866 ," 10,091 "," 37,794 "," 335,149 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 8 , 871 ," 10,213 "," 38,035 "," 343,510 "
326, S33_HH_EU_NL-EUxGB WS , S33_HH_EU_NL , EUxGB WS ," 2,503 "," 13,771 ", 23 ," 1,094 "," 3,973 "," 9,940 "," 12,752 "," 24,944 "," 43,444 "," 69,670 "," 80,012 "," 118,976 "," 170,064 "," 456,732 ", 398 ," 1,517 "," 4,638 "," 10,967 "," 13,911 "," 26,537 "," 45,471 "," 72,101 "," 82,550 "," 121,825 "," 173,161 "," 460,545 "
327, HSA_FA_UK-DE FL , HSA_FA_UK , DE FL , 3 , 73 ,                       -   ,                       -   , -   , -   , -   , -   , 7 , 79 , 131 , 403 , 832 ," 3,297 ",                       -   ,                         -   , -   , -   , -   , -   , 7 , 79 , 131 , 404 , 834 ," 3,301 "
328, S33_HH_Lloyds-GB WSSS , S33_HH_Lloyds , GB WSSS ," 97,885 "," 192,918 "," 23,762 "," 86,296 "," 162,092 "," 273,228 "," 319,106 "," 501,023 "," 753,546 "," 1,094,673 "," 1,226,463 "," 1,702,465 "," 2,255,271 "," 4,280,321 "," 45,122 "," 129,675 "," 222,895 "," 350,201 "," 400,629 "," 594,168 "," 855,488 "," 1,202,739 "," 1,335,829 "," 1,814,367 "," 2,368,755 "," 4,405,743 "
329, S33_HH_EU_BE-EUxGB WS CVV (FlrArea) , S33_HH_EU_BE , EUxGB WS CVV (FlrArea) ," 1,033 "," 7,617 ", 1 , 149 , 996 ," 3,387 "," 4,691 "," 10,960 "," 21,227 "," 36,322 "," 42,360 "," 65,362 "," 95,812 "," 269,153 ", 136 , 281 ," 1,167 "," 3,658 "," 5,005 "," 11,431 "," 21,883 "," 37,163 "," 43,263 "," 66,428 "," 97,023 "," 270,804 "
330, S33_HH_UK-GB FL HD , S33_HH_UK , GB FL HD ," 2,244 "," 73,891 ", -   , -   , -   , -   , -   , -   , -   ," 1,884 "," 4,725 "," 38,617 "," 605,179 "," 3,341,056 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ," 1,883 "," 4,703 "," 38,770 "," 605,218 "," 3,516,765 "
331, S33_HH_EU_ES-EU FL HD , S33_HH_EU_ES , EU FL HD , -   , 29 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ," 1,218 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ,                           -   ," 1,330 "
332, S3624_COMM_UK-EU FL HD , S3624_COMM_UK , EU FL HD , 67 ," 2,852 ", 42 , 42 , 42 , 42 , 42 , 42 , 42 , 42 , 42 , 42 ," 1,081 "," 153,093 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ," 1,093 "," 153,828 "
333, S3624_COMM_UK-GB FL HD , S3624_COMM_UK , GB FL HD , 668 ," 21,404 ", -   , -   , -   , -   , -   , -   , -   , 498 ," 2,738 "," 33,956 "," 185,074 "," 1,091,593 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 499 ," 2,771 "," 33,924 "," 185,861 "," 1,169,421 "
334, HSA_HH_EU_DE-BE FL , HSA_HH_EU_DE , BE FL ," 3,382 "," 19,598 ", 116 ," 2,123 "," 5,687 "," 11,568 "," 14,187 "," 26,361 "," 49,589 "," 88,552 "," 104,459 "," 164,318 "," 242,679 "," 718,675 ", 326 ," 2,574 "," 6,558 "," 12,976 "," 15,782 "," 28,516 "," 52,116 "," 91,369 "," 107,385 "," 167,601 "," 246,344 "," 723,173 "
335, S33_HH_UK-EUxGB WS CVV (FlrArea) , S33_HH_UK , EUxGB WS CVV (FlrArea) , 514 ," 5,365 ", -   , 26 , 362 ," 1,504 "," 2,095 "," 4,798 "," 9,415 "," 17,507 "," 21,201 "," 36,863 "," 59,683 "," 204,614 ", 240 , 330 , 606 ," 1,782 "," 2,391 "," 5,166 "," 9,872 "," 18,046 "," 21,763 "," 37,488 "," 60,383 "," 205,584 "
336, S3624_COMM_UK-GB WSSS (FlrArea) , S3624_COMM_UK , GB WSSS (FlrArea) , 18 , 292 , -   , -   , -   , 6 , 15 , 103 , 334 , 775 , 973 ," 1,816 "," 3,099 "," 12,070 ", 5 , 7 , 9 , 12 , 21 , 109 , 342 , 785 , 985 ," 1,832 "," 3,117 "," 12,104 "
337, S3624_COMM_EU_DE-EUxGB WS CVV (FlrArea) , S3624_COMM_EU_DE , EUxGB WS CVV (FlrArea) , 66 , 679 , -   , 4 , 24 , 88 , 137 , 535 ," 1,453 "," 2,943 "," 3,547 "," 5,858 "," 8,935 "," 25,394 ", 7 , 13 , 32 , 98 , 149 , 552 ," 1,479 "," 2,980 "," 3,589 "," 5,913 "," 9,002 "," 25,492 "
338, HSA_HH_EU_ES-EUxESGB EQ Adj , HSA_HH_EU_ES , EUxESGB EQ Adj ," 3,415 "," 66,039 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , 9 ," 9,871 "," 109,177 "," 178,294 "," 514,370 "," 956,175 "," 2,851,855 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 83 ," 9,887 "," 109,370 "," 178,612 "," 515,326 "," 957,760 "," 2,857,008 "
339, S33_HH_EU_ES-EUxESGB EQ , S33_HH_EU_ES , EUxESGB EQ , 130 ," 3,156 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 17 ," 1,637 "," 3,420 "," 15,490 "," 38,386 "," 150,562 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 17 ," 1,639 "," 3,424 "," 15,508 "," 38,430 "," 150,813 "
340, HSA_HH_EU_FR-BE FL , HSA_HH_EU_FR , BE FL ," 4,457 "," 20,493 ", 189 ," 3,548 "," 9,276 "," 17,850 "," 21,307 "," 34,959 "," 55,507 "," 88,664 "," 103,164 "," 162,043 "," 243,384 "," 712,609 ", 435 ," 4,215 "," 10,626 "," 20,035 "," 23,774 "," 38,307 "," 59,606 "," 93,176 "," 107,733 "," 166,756 "," 248,271 "," 718,124 "
341, S33_HH_EU_NL-EUxESGB EQ , S33_HH_EU_NL , EUxESGB EQ ," 29,308 "," 387,951 ",                       -   ,                       -   , 11 ," 7,427 "," 19,369 "," 134,606 "," 503,212 "," 1,382,180 "," 1,812,267 "," 3,593,134 "," 5,897,023 "," 14,778,380 ",                       -   ,                         -   , 167 ," 7,496 "," 19,542 "," 135,840 "," 507,107 "," 1,390,475 "," 1,822,151 "," 3,608,501 "," 5,918,684 "," 14,822,152 "
342, HSA_HH_EU_FR-GB WSSS CVV (FlrArea) , HSA_HH_EU_FR , GB WSSS CVV (FlrArea) , 726 ," 6,153 ", -   , 131 , 691 ," 2,102 "," 2,881 "," 6,908 "," 13,795 "," 24,424 "," 28,945 "," 47,976 "," 77,026 "," 240,221 ", 114 , 242 , 833 ," 2,312 "," 3,119 "," 7,241 "," 14,241 "," 24,995 "," 29,556 "," 48,696 "," 77,824 "," 241,258 "
343, S33_HH_EU_NL-EUxESGB EQ Adj , S33_HH_EU_NL , EUxESGB EQ Adj ," 16,324 "," 312,069 ",                       -   ,                       -   ,                         -   , 16 , 250 ," 19,601 "," 142,419 "," 545,682 "," 779,552 "," 1,980,520 "," 4,040,000 "," 13,933,782 ",                       -   ,                         -   ,                         -   , 266 , 484 ," 19,693 "," 143,052 "," 547,721 "," 782,281 "," 1,985,916 "," 4,048,683 "," 13,957,260 "
344, HSA_HH_EU_IE-EUxGB WS CVV (FlrArea) , HSA_HH_EU_IE , EUxGB WS CVV (FlrArea) ," 395,498 "," 810,417 "," 94,550 "," 383,196 "," 716,642 "," 1,199,926 "," 1,399,505 "," 2,177,834 "," 3,212,998 "," 4,560,337 "," 5,064,852 "," 6,812,863 "," 8,769,496 "," 18,825,193 "," 164,511 "," 543,827 "," 955,351 "," 1,512,101 "," 1,731,572 "," 2,559,508 "," 3,636,023 "," 5,011,726 "," 5,521,772 "," 7,283,917 "," 9,255,853 "," 19,327,625 "
345, S33_HH_Lloyds-EU FL HD , S33_HH_Lloyds , EU FL HD ," 9,195 "," 140,013 ", -   , -   , -   , 1 , 269 ," 13,907 "," 119,253 "," 553,192 "," 683,036 "," 1,200,631 "," 1,823,804 "," 7,000,000 ",                       -   ,                         -   ,                         -   , 25 , 275 ," 13,994 "," 119,093 "," 552,227 "," 685,942 "," 1,207,773 "," 1,832,390 "," 7,028,602 "
346, HSA_HH_EU_NL-EU FL HD , HSA_HH_EU_NL , EU FL HD ," 49,836 "," 152,040 ", 248 ," 51,694 "," 104,369 "," 206,104 "," 253,585 "," 417,203 "," 632,538 "," 913,181 "," 995,343 "," 1,292,311 "," 1,775,935 "," 3,791,020 ", 251 ," 57,518 "," 120,638 "," 233,511 "," 281,943 "," 456,145 "," 675,528 "," 958,466 "," 1,040,584 "," 1,357,292 "," 1,839,324 "," 4,184,757 "
347, HSA_HH_EU_NL-EUxGB WS (FlrArea) , HSA_HH_EU_NL , EUxGB WS (FlrArea) ," 1,080,565 "," 2,411,139 "," 287,541 "," 962,007 "," 1,743,631 "," 2,968,775 "," 3,512,190 "," 5,901,332 "," 9,620,872 "," 14,443,462 "," 16,184,291 "," 22,012,103 "," 28,177,830 "," 59,646,055 "," 515,247 "," 1,454,483 "," 2,444,047 "," 3,852,037 "," 4,443,454 "," 6,941,258 "," 10,714,128 "," 15,599,294 "," 17,363,297 "," 23,250,482 "," 29,486,269 "," 61,090,225 "
348, S33_HH_Lloyds-GB FL HD , S33_HH_Lloyds , GB FL HD ," 22,766 "," 206,848 ", -   , -   , 265 ," 21,033 "," 44,702 "," 215,930 "," 627,018 "," 1,181,455 "," 1,367,209 "," 2,137,152 "," 2,973,348 "," 6,229,258 ",                       -   ,                         -   , 278 ," 21,290 "," 44,776 "," 218,491 "," 630,476 "," 1,196,474 "," 1,380,202 "," 2,153,664 "," 2,981,484 "," 6,548,270 "
349, HSA_HH_EU_PT-EUxESGB EQ , HSA_HH_EU_PT , EUxESGB EQ ," 1,437,102 "," 21,473,942 ",                       -   , 342 ," 17,496 "," 360,859 "," 680,022 "," 3,641,043 "," 16,832,813 "," 56,940,938 "," 78,000,672 "," 198,878,340 "," 384,160,640 "," 756,702,979 ",                       -   ," 6,605 "," 32,160 "," 369,291 "," 693,116 "," 3,687,564 "," 16,957,065 "," 57,222,849 "," 78,346,060 "," 199,541,459 "," 384,930,497 "," 759,443,476 "
350, S33_HH_Lloyds-GB WSSS CVV (FlrArea) , S33_HH_Lloyds , GB WSSS CVV (FlrArea) ," 26,657 "," 79,084 "," 4,064 "," 19,162 "," 44,654 "," 87,852 "," 107,288 "," 193,106 "," 324,914 "," 494,780 "," 555,203 "," 757,453 "," 981,883 "," 1,904,450 "," 8,342 "," 27,579 "," 56,751 "," 104,118 "," 124,887 "," 214,351 "," 348,827 "," 521,155 "," 582,418 "," 787,482 "," 1,014,341 "," 1,942,612 "
351, S3624_COMM_UK-GB FL , S3624_COMM_UK , GB FL , 986 ," 39,096 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , -   , 2 , 231 ," 1,349 "," 36,316 "," 188,047 "," 2,099,198 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 9 , 38 , 234 ," 1,351 "," 36,337 "," 188,172 "," 2,100,495 "
352, HSA_HH_UK-EUxESGB EQ , HSA_HH_UK , EUxESGB EQ ," 140,253 "," 828,632 ", 643 ," 42,627 "," 198,459 "," 544,359 "," 706,451 "," 1,398,933 "," 2,499,008 "," 4,192,701 "," 4,918,185 "," 7,878,813 "," 12,076,221 "," 26,425,087 "," 1,718 "," 46,973 "," 213,289 "," 577,341 "," 746,372 "," 1,463,521 "," 2,588,928 "," 4,306,033 "," 5,037,326 "," 8,015,171 "," 12,218,696 "," 26,610,395 "
353, S33_FA_EU_BE-EU FL HD , S33_FA_EU_BE , EU FL HD , 220 ," 11,701 ", -   , -   , -   , -   , -   , -   , -   , 308 , 891 ," 7,444 "," 33,955 "," 374,680 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 304 , 890 ," 7,576 "," 34,141 "," 382,750 "
354, S33_FA_EU_BE-EUxESGB EQ Adj , S33_FA_EU_BE , EUxESGB EQ Adj ," 6,345 "," 182,559 ",                       -   ,                       -   ,                         -   ,                         -   , 7 ," 1,978 "," 41,089 "," 194,463 "," 280,289 "," 687,707 "," 1,308,254 "," 7,260,126 ",                       -   ,                         -   ,                         -   ,                         -   , 92 ," 2,018 "," 41,211 "," 195,019 "," 281,094 "," 689,403 "," 1,311,184 "," 7,267,162 "
355, S33_FA_EU_DE-EU FL HD , S33_FA_EU_DE , EU FL HD , 68 ," 3,863 ", -   , -   , -   , -   , -   , -   , -   , 111 , 316 ," 2,698 "," 13,761 "," 83,721 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 109 , 311 ," 2,731 "," 13,896 "," 105,429 "
356, S33_FA_EU_ES-EU FL HD , S33_FA_EU_ES , EU FL HD , 1 , 82 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 ," 3,868 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   , 9 ," 3,897 "
357, S33_FA_EU_FR-EU FL HD , S33_FA_EU_FR , EU FL HD , 278 ," 9,502 ", -   , -   , -   , -   , -   , -   , 406 ," 4,725 "," 8,682 "," 29,665 "," 60,767 "," 240,136 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 398 ," 4,752 "," 8,696 "," 29,759 "," 61,061 "," 287,271 "
358, S33_FA_Lloyds-EU FL HD , S33_FA_Lloyds , EU FL HD ," 209,229 "," 2,489,215 ", -   ," 5,855 "," 130,051 "," 518,060 "," 709,093 "," 1,611,613 "," 2,784,808 "," 4,207,387 "," 5,037,029 "," 18,433,708 "," 49,136,417 "," 81,500,176 ",                       -   ," 6,186 "," 134,485 "," 536,953 "," 736,282 "," 1,655,348 "," 2,854,138 "," 4,293,122 "," 5,101,385 "," 18,681,421 "," 49,187,075 "," 83,815,829 "
359, S33_FA_UK-EU FL HD , S33_FA_UK , EU FL HD , 962 ," 56,605 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 125 ," 3,699 "," 3,331,370 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   , 143 ," 3,716 "," 3,641,214 "
360, S33_FA_UK-EUxESGB EQ Adj , S33_FA_UK , EUxESGB EQ Adj ," 1,286 "," 51,365 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 96 , 918 ," 36,522 "," 232,350 "," 2,736,529 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 101 , 918 ," 36,542 "," 232,496 "," 2,738,539 "
361, S33_HH_EU_ES-EUxGB WS CVV (FlrArea) , S33_HH_EU_ES , EUxGB WS CVV (FlrArea) , 7 , 127 , -   , -   , -   , -   , -   , 12 , 81 , 269 , 363 , 775 ," 1,393 "," 5,260 ", 2 , 2 , 3 , 4 , 4 , 14 , 84 , 272 , 366 , 780 ," 1,399 "," 5,273 "
362, S33_HH_UK-EUxGB WS , S33_HH_UK , EUxGB WS , 524 ," 5,462 ", -   , 25 , 357 ," 1,508 "," 2,107 "," 4,859 "," 9,588 "," 17,944 "," 21,781 "," 38,070 "," 61,695 "," 208,258 ", 240 , 330 , 602 ," 1,786 "," 2,403 "," 5,228 "," 10,046 "," 18,486 "," 22,346 "," 38,701 "," 62,401 "," 209,236 "
363, S33_HH_UK-EUxGB WS (FlrArea) , S33_HH_UK , EUxGB WS (FlrArea) , 524 ," 5,445 ", -   , 26 , 367 ," 1,516 "," 2,110 "," 4,835 "," 9,540 "," 17,904 "," 21,745 "," 38,013 "," 61,562 "," 207,548 ", 240 , 330 , 611 ," 1,795 "," 2,406 "," 5,205 "," 9,999 "," 18,446 "," 22,309 "," 38,643 "," 62,267 "," 208,524 "
364, S33_HH_UK-GB WSSS (FlrArea) , S33_HH_UK , GB WSSS (FlrArea) , 889 ," 5,371 ", 49 , 429 ," 1,129 "," 2,913 "," 3,883 "," 8,238 "," 14,884 "," 24,459 "," 28,329 "," 43,549 "," 64,908 "," 191,551 ", 145 , 588 ," 1,383 "," 3,268 "," 4,270 "," 8,746 "," 15,532 "," 25,246 "," 29,158 "," 44,491 "," 65,920 "," 192,746 "
365, S3624_COMM_EU_DE-EUxGB WS , S3624_COMM_EU_DE , EUxGB WS , 62 , 674 , -   , 4 , 22 , 78 , 119 , 460 ," 1,324 "," 2,806 "," 3,419 "," 5,779 "," 8,917 "," 25,476 ", 7 , 13 , 30 , 88 , 130 , 476 ," 1,347 "," 2,840 "," 3,457 "," 5,829 "," 8,980 "," 25,578 "
366, S3624_COMM_UK-EUxGB WS CVV (FlrArea) , S3624_COMM_UK , EUxGB WS CVV (FlrArea) , -   , 13 ,                       -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 31 , 92 , 516 ,                       -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 31 , 92 , 517 
367, HIC_COMM_UK-EUxESGB EQ , HIC_COMM_UK , EUxESGB EQ , 16 , 989 ,                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   , -   , 591 ," 43,634 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   , 2 , 591 ," 43,649 "
368, HIC_COMM_UK-EUxGB WS (FlrArea) , HIC_COMM_UK , EUxGB WS (FlrArea) , 9 , 98 , -   , -   , -   , 2 , 8 , 74 , 219 , 441 , 530 , 867 ," 1,310 "," 3,617 ", -   , -   , -   , 3 , 9 , 74 , 221 , 445 , 534 , 873 ," 1,319 "," 3,630 "
369, HIC_COMM_UK-GB WSSS CVV (FlrArea) , HIC_COMM_UK , GB WSSS CVV (FlrArea) ," 3,624,006 "," 8,080,206 "," 748,776 "," 2,514,884 "," 4,960,573 "," 9,455,824 "," 11,717,313 "," 22,415,132 "," 37,163,377 "," 54,532,944 "," 60,516,278 "," 78,829,258 "," 95,867,717 "," 146,855,313 "," 1,592,739 "," 4,065,309 "," 7,042,080 "," 12,026,412 "," 14,408,880 "," 25,341,985 "," 40,393,017 "," 58,100,496 "," 64,164,157 "," 82,756,220 "," 100,104,048 "," 152,818,584 "
370, HIC_FA_UK-GB FL , HIC_FA_UK , GB FL ," 58,736 "," 563,504 ", -   , 8 ," 1,800 "," 48,048 "," 83,703 "," 352,195 "," 1,298,672 "," 3,417,008 "," 4,654,039 "," 8,113,990 "," 9,148,745 "," 11,978,190 ", 7 , 302 ," 1,938 "," 48,817 "," 85,046 "," 357,271 "," 1,310,463 "," 3,443,852 "," 4,681,014 "," 8,143,964 "," 9,170,329 "," 12,147,243 "
371, HIG_HH_GU-EU FL HD , HIG_HH_GU , EU FL HD ," 5,748 "," 82,797 ", -   , -   , -   , 542 ," 2,031 "," 19,044 "," 81,172 "," 221,161 "," 294,324 "," 800,048 "," 1,400,505 "," 3,039,760 ",                       -   ,                         -   ,                         -   , 545 ," 2,036 "," 19,199 "," 81,530 "," 224,342 "," 295,659 "," 805,481 "," 1,409,143 "," 3,066,907 "
372, HSA_COMM_EU_DE-GB FL HD , HSA_COMM_EU_DE , GB FL HD , 28 , 768 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 193 , 571 ," 3,292 "," 8,466 "," 36,676 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 193 , 574 ," 3,316 "," 8,487 "," 39,422 "
373, HSA_COMM_EU_DE-GB WSSS (FlrArea) , HSA_COMM_EU_DE , GB WSSS (FlrArea) , -   , 36 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 666 , -   , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 667 
374, HSA_COMM_EU_FR-BE FL , HSA_COMM_EU_FR , BE FL , 66 ," 1,231 ", -   , -   , -   , -   , -   , 9 , 214 ," 1,903 "," 3,256 "," 10,312 "," 19,567 "," 49,525 ", 4 , 6 , 7 , 9 , 10 , 14 , 219 ," 1,912 "," 3,267 "," 10,334 "," 19,603 "," 49,627 "
375, HSA_COMM_EU_FR-EU FL HD , HSA_COMM_EU_FR , EU FL HD ," 299,433 "," 1,304,717 "," 4,082 "," 286,195 "," 660,455 "," 1,236,141 "," 1,456,347 "," 2,240,358 "," 3,368,596 "," 5,078,425 "," 5,933,066 "," 11,648,955 "," 19,825,207 "," 40,545,208 "," 4,449 "," 312,033 "," 749,901 "," 1,379,681 "," 1,610,756 "," 2,464,801 "," 3,660,251 "," 5,400,051 "," 6,308,957 "," 12,154,024 "," 20,049,259 "," 42,156,404 "
376, HSA_COMM_EU_IE-EUxGB WS CVV (FlrArea) , HSA_COMM_EU_IE , EUxGB WS CVV (FlrArea) ," 276,282 "," 624,376 "," 57,613 "," 257,308 "," 502,431 "," 884,990 "," 1,048,954 "," 1,682,411 "," 2,501,536 "," 3,565,015 "," 3,963,738 "," 5,348,444 "," 6,940,476 "," 14,923,111 "," 99,930 "," 357,101 "," 655,086 "," 1,087,185 "," 1,263,655 "," 1,930,539 "," 2,783,988 "," 3,872,459 "," 4,276,371 "," 5,675,631 "," 7,280,648 "," 15,284,465 "
377, HSA_COMM_UK-BE FL , HSA_COMM_UK , BE FL , 33 , 371 , -   , -   , 8 , 74 , 117 , 337 , 699 ," 1,247 "," 1,479 "," 2,476 "," 4,093 "," 14,182 ", 5 , 8 , 14 , 80 , 124 , 348 , 716 ," 1,270 "," 1,504 "," 2,507 "," 4,128 "," 14,228 "
378, HSA_FA_EU_BE-DE FL , HSA_FA_EU_BE , DE FL , 438 ," 14,704 ",                       -   ,                       -   , -   , 1 , 1 , 2 , 250 ," 3,132 "," 5,881 "," 35,940 "," 113,125 "," 670,005 ",                       -   ,                         -   , 7 , 22 , 30 , 69 , 258 ," 3,144 "," 5,897 "," 35,989 "," 113,236 "," 670,768 "
379, HSA_FA_EU_BE-EUxGB WS , HSA_FA_EU_BE , EUxGB WS ," 50,550 "," 85,818 "," 11,488 "," 43,916 "," 82,085 "," 132,998 "," 152,501 "," 224,068 "," 313,928 "," 424,366 "," 464,775 "," 608,190 "," 784,270 "," 1,794,586 "," 29,783 "," 72,723 "," 119,349 "," 178,371 "," 200,272 "," 278,359 "," 373,238 "," 487,403 "," 528,805 "," 674,352 "," 851,340 "," 1,859,682 "
380, HSA_FA_EU_BE_QS-EU FL HD , HSA_FA_EU_BE_QS , EU FL HD ," 29,968 "," 512,562 ", -   , -   , -   , -   , -   ," 16,022 "," 277,135 "," 1,190,204 "," 1,761,410 "," 4,686,859 "," 7,694,610 "," 18,222,028 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ," 16,132 "," 278,144 "," 1,192,295 "," 1,771,112 "," 4,691,051 "," 7,763,458 "," 23,082,492 "
381, HSA_FA_EU_ES-GB WSSS CVV , HSA_FA_EU_ES , GB WSSS CVV , 25 , 166 , 1 , 13 , 40 , 88 , 109 , 199 , 358 , 645 , 770 ," 1,268 "," 1,949 "," 6,155 ", 4 , 18 , 48 , 99 , 122 , 216 , 378 , 667 , 793 ," 1,294 "," 1,977 "," 6,191 "
382, HSA_FA_EU_ES_QS-EU FL HD , HSA_FA_EU_ES_QS , EU FL HD , 5 , 647 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31 ," 4,955 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   , 31 ," 6,329 "
383, HSA_FA_EU_FR_QS-EU FL HD , HSA_FA_EU_FR_QS , EU FL HD ," 48,442 "," 977,354 ", -   , -   , -   , -   , 70 ," 15,428 "," 138,599 "," 857,966 "," 1,271,856 "," 8,677,913 "," 16,106,124 "," 38,512,682 ",                       -   ,                         -   ,                         -   ,                         -   , 391 ," 15,606 "," 138,901 "," 859,385 "," 1,275,060 "," 8,736,248 "," 16,128,828 "," 39,880,882 "
384, HSA_FA_EU_IE-BE FL , HSA_FA_EU_IE , BE FL , 258 ," 3,602 ", -   , 15 , 190 , 739 ," 1,014 "," 2,228 "," 4,111 "," 7,057 "," 8,396 "," 15,226 "," 30,020 "," 151,099 ", 41 , 75 , 235 , 802 ," 1,087 "," 2,335 "," 4,258 "," 7,246 "," 8,599 "," 15,460 "," 30,256 "," 151,439 "
