ID, Segment , LOB , RegionPeril , AAL , STD ,OEP_2,OEP_5,OEP_10,OEP_20,OEP_25,OEP_50,OEP_100,OEP_200,OEP_250,OEP_500,OEP_1000,OEP_10000,AEP_2,AEP_5,AEP_10,AEP_20,AEP_25,AEP_50,AEP_100,AEP_200,AEP_250,AEP_500,AEP_1000,AEP_10000
276, HSA_HH_EU_FR-EU FL HD , HSA_HH_EU_FR , EU FL HD ," 349,584 "," 5,191,583 ", -   ," 13,390 "," 147,610 "," 724,358 "," 996,186 "," 1,984,205 "," 3,002,073 "," 4,379,036 "," 5,193,561 "," 14,250,893 "," 110,605,080 "," 153,378,700 ",                       -   ," 13,867 "," 154,345 "," 746,977 "," 1,027,807 "," 2,039,688 "," 3,073,530 "," 4,497,422 "," 5,374,475 "," 15,835,743 "," 110,505,257 "," 162,858,795 "
277, HSA_FA_EU_PT-EU FL HD , HSA_FA_EU_PT , EU FL HD , 985 ," 33,627 ", -   , -   , -   , -   , -   , -   , -   , 1 , 28 ," 3,805 "," 236,016 "," 1,729,892 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 7 , 27 ," 3,841 "," 236,505 "," 1,740,555 "
278, HSA_HH_EU_ES-GB WSSS CVV (FlrArea) , HSA_HH_EU_ES , GB WSSS CVV (FlrArea) ," 2,479 "," 13,163 ", 101 ," 1,272 "," 3,576 "," 8,702 "," 11,277 "," 22,729 "," 40,961 "," 69,088 "," 80,748 "," 125,355 "," 181,237 "," 420,429 ", 332 ," 1,674 "," 4,251 "," 9,703 "," 12,386 "," 24,209 "," 42,838 "," 71,318 "," 83,070 "," 127,938 "," 184,064 "," 424,028 "
279, HSA_HH_EU_FR-EUxGB WS CVV (FlrArea) , HSA_HH_EU_FR , EUxGB WS CVV (FlrArea) ," 797,136 "," 1,475,606 "," 187,020 "," 818,027 "," 1,547,135 "," 2,504,537 "," 2,866,409 "," 4,177,467 "," 5,816,239 "," 7,895,946 "," 8,692,908 "," 11,674,531 "," 15,287,757 "," 28,282,159 "," 324,348 "," 1,138,996 "," 2,025,628 "," 3,135,412 "," 3,542,961 "," 4,981,928 "," 6,725,689 "," 8,883,678 "," 9,698,185 "," 12,690,529 "," 16,269,898 "," 29,384,768 "
280, HSA_FA_EU_PT-GB WSSS CVV , HSA_FA_EU_PT , GB WSSS CVV , 96 ," 1,092 ", -   , 13 , 79 , 237 , 314 , 708 ," 1,595 "," 3,326 "," 4,090 "," 7,210 "," 11,717 "," 44,324 ", 21 , 36 , 102 , 267 , 348 , 753 ," 1,652 "," 3,395 "," 4,163 "," 7,297 "," 11,818 "," 44,467 "
281, HSA_HH_EU_FR-GB FL , HSA_HH_EU_FR , GB FL , 531 ," 22,452 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 1 , 83 , 610 ," 16,788 "," 90,982 "," 1,100,060 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 27 , 91 , 611 ," 16,798 "," 91,033 "," 1,100,471 "
282, HSA_HH_EU_IE-EUxGB WS , HSA_HH_EU_IE , EUxGB WS ," 493,106 "," 862,149 "," 142,454 "," 484,934 "," 863,124 "," 1,387,065 "," 1,591,902 "," 2,350,941 "," 3,330,576 "," 4,615,887 "," 5,104,253 "," 6,823,266 "," 8,771,336 "," 18,825,135 "," 240,344 "," 713,058 "," 1,191,812 "," 1,802,827 "," 2,031,818 "," 2,856,391 "," 3,890,117 "," 5,206,145 "," 5,698,581 "," 7,422,260 "," 9,379,323 "," 19,437,916 "
283, HSA_COMM_UK-EUxESGB EQ , HSA_COMM_UK , EUxESGB EQ ," 16,122 "," 199,312 ",                       -   , 2 , 187 ," 4,178 "," 8,345 "," 51,715 "," 242,047 "," 819,697 "," 1,169,096 "," 2,452,259 "," 3,638,072 "," 5,526,008 ",                       -   , 43 , 236 ," 4,254 "," 8,477 "," 52,281 "," 243,707 "," 823,783 "," 1,173,726 "," 2,459,951 "," 3,648,129 "," 5,552,066 "
284, HSA_HH_EU_IE-EUxGB WS (FlrArea) , HSA_HH_EU_IE , EUxGB WS (FlrArea) ," 493,106 "," 862,138 "," 142,453 "," 484,921 "," 863,102 "," 1,387,030 "," 1,591,863 "," 2,350,900 "," 3,330,546 "," 4,615,868 "," 5,104,231 "," 6,823,234 "," 8,771,300 "," 18,825,193 "," 240,341 "," 713,043 "," 1,191,785 "," 1,802,786 "," 2,031,773 "," 2,856,341 "," 3,890,074 "," 5,206,108 "," 5,698,545 "," 7,422,220 "," 9,379,279 "," 19,437,948 "
285, HSA_HH_EU_NL-EUxGB WS , HSA_HH_EU_NL , EUxGB WS ," 1,080,565 "," 2,411,152 "," 287,581 "," 962,035 "," 1,743,664 "," 2,968,807 "," 3,512,218 "," 5,901,347 "," 9,620,860 "," 14,443,417 "," 16,184,248 "," 22,012,122 "," 28,177,941 "," 59,646,430 "," 515,296 "," 1,454,554 "," 2,444,128 "," 3,852,120 "," 4,443,534 "," 6,941,324 "," 10,714,163 "," 15,599,298 "," 17,363,302 "," 23,250,544 "," 29,486,420 "," 61,090,636 "
