Analysis,ExposureAttribute,CatalogTypeCode,EventID,ModelCode,YearID,PerilSetCode,GroundUpLoss,GrossLoss,NetOfPreCatLoss
EU_WS,HSA_COMM_EU_FR,HIST    ,26,41,18,1,26032.1147043936,25508.5812165683,25508.5812165683
EU_WS,HSA_HH_EU_FR,HIST    ,5,41,5,1,482331.392827148,476673.689853957,476673.455754652
EU_WS,HSA_HH_EU_IE,HIST    ,27,41,18,1,1800.49508329762,1769.80503678602,1769.80503678602
EU_WS,HSA_HH_EU_PT,HIST    ,17,41,11,1,133.628970543905,131.909049109435,131.909049109435
EU_WS,HSA_COMM_EU_IE,HIST    ,6,41,6,1,148848.496689407,144206.772601201,144206.772601201
EU_WS,HSA_COMM_EU_DE,HIST    ,27,41,18,1,3.76398904565919,3.40121969896547,3.40121969896547
EU_WS,S33_HH_Lloyds,HIST    ,19,41,13,1,85903.6848322962,84603.469451948,84603.469451948
EU_WS,HSA_HH_EU_IE,HIST    ,8,41,6,1,1228099.19852245,1205726.33197903,1205293.47034212
EU_WS,S33_HH_EU_ES,RDS     ,1,41,127,1,1.41855199897205,1.17789541171413,1.17789541171413
EU_WS,S33_HH_EU_NL,HIST    ,3,41,3,1,496.323407643392,490.486246080956,490.486246080956
EU_WS,HSA_HH_EU_DE,HIST    ,20,41,14,1,4198.87446536602,4058.17495682546,4058.17495682546
EU_WS,HSA_HH_EU_IE,HIST    ,30,41,21,1,998.925989162735,978.003197442379,978.003197442379
EU_WS,S33_HH_Lloyds,HIST    ,26,41,18,1,13.0835783736288,13.0831901272478,13.0831901272478
EU_WS,HSA_HH_EU_ES,HIST    ,36,41,23,1,1396.38916666456,1385.69198597786,1385.69198597786
EU_WS,HSA_HH_EU_BE,RDS     ,6,41,132,1,10681745.5851808,10509837.176966,10501897.6606739
EU_WS,HSA_HH_EU_ES,HIST    ,27,41,18,1,33.5999999756517,33.3366722811683,33.3366722811683
EU_WS,HSA_HH_EU_PT,RDS     ,1,41,127,1,724.333493138402,712.04157834146,712.04157834146
EU_WS,HSA_COMM_EU_DE,HIST    ,31,41,21,1,5179.79218130568,4597.73066312006,4597.73066312006
EU_WS,HSA_HH_EU_NL,RDS     ,1,41,127,1,15305436.8550859,15036935.6358689,15016074.051186
EU_WS,HSA_COMM_EU_FR,RDS     ,4,41,130,1,2598535.26204292,2581580.41159422,2581580.41159422
EU_WS,HIG_HH_GU,HIST    ,14,41,9,1,100243.788051055,100120.74332581,99184.4888410416
EU_WS,HSA_COMM_UK,HIST    ,35,41,23,1,157.224522865377,157.224522865377,157.224522865377
