lob_id,vendor,analysis_id,in_rollup
4,verisk,EU_EQ,true
4,verisk,EU_FL,true
4,verisk,EU_WS,true
4,verisk,EU_WS_GCAdj,true
4,verisk,UK_FL,true
4,verisk,UK_WSSS,true
4,verisk,UK_WSSS_GCAdj,true
5,verisk,EU_EQ,true
5,verisk,EU_FL,true
5,verisk,EU_WS,true
5,verisk,EU_WS_GCAdj,true
6,verisk,EU_EQ,true
6,verisk,EU_FL,true
6,verisk,EU_WS,true
6,verisk,EU_WS_GCAdj,true
7,verisk,EU_EQ,true
7,verisk,EU_FL,true
7,verisk,EU_WS,true
7,verisk,EU_WS_GCAdj,true
7,verisk,UK_FL,true
7,verisk,UK_WSSS,true
7,verisk,UK_WSSS_GCAdj,true
8,verisk,EU_EQ,true
8,verisk,EU_FL,true
8,verisk,EU_WS,true
8,verisk,EU_WS_GCAdj,true
8,verisk,UK_FL,true
8,verisk,UK_WSSS,true
8,verisk,UK_WSSS_GCAdj,true
11,verisk,EU_EQ,true
11,verisk,EU_FL,true
11,verisk,EU_WS,true
11,verisk,EU_WS_GCAdj,true
11,verisk,UK_FL,true
11,verisk,UK_WSSS,true
11,verisk,UK_WSSS_GCAdj,true
14,verisk,EU_EQ,true
14,verisk,EU_WS,true
14,verisk,EU_WS_GCAdj,true
14,verisk,UK_FL,true
14,verisk,UK_WSSS,true
14,verisk,UK_WSSS_GCAdj,true
24,verisk,EU_EQ,true
24,verisk,EU_FL,true
24,verisk,EU_WS,true
24,verisk,EU_WS_GCAdj,true
26,verisk,EU_EQ,true
26,verisk,EU_FL,true
26,verisk,EU_WS,true
26,verisk,EU_WS_GCAdj,true
28,verisk,EU_EQ,true
28,verisk,EU_FL,true
28,verisk,EU_WS,true
28,verisk,EU_WS_GCAdj,true
39,verisk,EU_EQ,true
39,verisk,EU_FL,true
39,verisk,EU_WS,true
39,verisk,EU_WS_GCAdj,true
39,verisk,UK_FL,true
39,verisk,UK_WSSS,true
39,verisk,UK_WSSS_GCAdj,true
41,verisk,EU_EQ,true
41,verisk,EU_FL,true
41,verisk,EU_WS,true
41,verisk,EU_WS_GCAdj,true
41,verisk,UK_FL,true
41,verisk,UK_WSSS,true
41,verisk,UK_WSSS_GCAdj,true
43,verisk,EU_EQ,true
43,verisk,EU_FL,true
43,verisk,EU_WS,true
43,verisk,EU_WS_GCAdj,true
43,verisk,UK_FL,true
43,verisk,UK_WSSS,true
43,verisk,UK_WSSS_GCAdj,true
49,verisk,EU_EQ,true
49,verisk,EU_FL,true
49,verisk,EU_WS,true
49,verisk,EU_WS_GCAdj,true
49,verisk,UK_FL,true
49,verisk,UK_WSSS,true
49,verisk,UK_WSSS_GCAdj,true
52,verisk,EU_EQ,true
52,verisk,EU_WS,true
52,verisk,EU_WS_GCAdj,true
52,verisk,UK_FL,true
52,verisk,UK_WSSS,true
52,verisk,UK_WSSS_GCAdj,true
56,verisk,EU_EQ,true
56,verisk,EU_FL,true
56,verisk,EU_WS,true
56,verisk,EU_WS_GCAdj,true
60,verisk,UK_FL,true
60,verisk,UK_WSSS,true
60,verisk,UK_WSSS_GCAdj,true
